Begin:135264780
End:123456780
Search:160
Expand:270
Maxdeep:17
Runtime:2.000000s
no	status		d[n]	f[n]	change information
1	135264780	1		9		0,0 0-->0,0 0
2	135260784	2		12		2,2 0-->1,2 4
3	135206784	3		13		1,2 0-->1,1 6
4	135026784	4		14		1,1 0-->1,0 2
5	135726084	5		15		1,0 0-->2,0 7
6	135726804	6		16		2,0 0-->2,1 8
7	135726840	7		15		2,1 0-->2,2 4
8	135720846	8		18		2,2 0-->1,2 6
9	130725846	9		19		1,2 0-->0,2 5
10	103725846	10		20		0,2 0-->0,1 3
11	123705846	11		19		0,1 0-->1,1 2
12	123745806	12		18		1,1 0-->2,1 4
13	123745086	13		19		2,1 0-->2,0 8
14	123045786	14		20		2,0 0-->1,0 7
15	123405786	15		19		1,0 0-->1,1 4
16	123450786	16		18		1,1 0-->1,2 5
17	123456780	17		17		1,2 0-->2,2 6
